_id,ArtistName,TrackName,Popularity,Genres,danceability,energy,speechiness,instrumentalness,valence,duration_ms
6Udw2B4QbMxStBz2dYM3bB,Tomo Fujita,Just Funky,27,[],0.6629213483146068,0.6599330017257131,0.048080249048772,0.8497461928934009,0.8572470563717827,415427
08wnOyN1wyMaNrup3m353f,M83,My Tears Are Becoming a Sea,64,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']",0.1078651685393258,0.3462592630189828,0.0468695952957454,0.2781725888324873,0.0373033239554027,151827
5Apf3vHBoTfRBTRhrndVXO,S. Kiyotaka & Omega Tribe,MIDNIGHT DOWN TOWN,43,['classic city pop'],0.7797752808988765,0.7056136432849457,0.0344171566931857,0.0001705583756345,0.92914452433052,305733
0bjkhNAsp7nPk731Yg83bF,Colapesce,Ti attraverso,36,"['indie siciliano', 'italian alternative', 'italian indie pop']",0.6460674157303371,0.5391330829357426,0.0110688343133863,0.0295431472081218,0.4456601021152443,221074
4dk40nfaQav6b4ZsJ9OYUo,The Psychedelic Furs,Love My Way,65,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'rock']",0.6415730337078652,0.8507765709065069,0.0195434105845728,0.0001827411167512,0.5217255392310096,213973
7Cq27Qc3WRyQ3ddwVslpVZ,Scarlxrd,Heart Attack,63,"['dark trap', 'scream rap', 'underground hip hop']",0.5831460674157304,0.8964572124657395,0.1940505015565548,0.0042944162436548,0.1684901531728665,193567
2fhOljbX79loRcdl47SFye,Mac DeMarco,Moonlight on the River,72,"['edmonton indie', 'lo-fi indie']",0.6696629213483147,0.473149934016851,0.036838464199239,0.8456852791878172,0.4279462331978743,422613
3fqz4dlR6hdqbRheLQj8x5,The Mountain Goats,Dinu Lipatti's Bones,32,"['alternative rock', 'anti-folk', 'chamber pop', 'indie pop', 'indie rock', 'lo-fi', 'melancholia', 'new weird america', 'stomp and holler']",0.5730337078651685,0.2132778398132169,0.0205811138014527,0.7715736040609137,0.2445555902886318,198240
2btYx23rPpKDmq0k2Ue381,Appino,Rockstar,31,"['italian alternative', 'italian indie pop']",0.5157303370786518,0.5513145873515379,0.0434105845728121,2.4568527918781724e-05,0.4435761175367302,262827
6hHc7Pks7wtBIW8Z6A0iFq,New Order,Blue Monday,72,"['alternative rock', 'art rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'post-punk', 'rock', 'synthpop', 'uk post-punk']",0.7820224719101124,0.6487666226779008,0.072120373573158,0.8690355329949238,0.9604042930082316,449160
